"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jun 07 20:13:15 GMT 2022","Tue Jun 07 20:13:16 GMT 2022","344","","Отправляем http запросы через Мини фреймфорк","","Отправляем http запросы через Мини фреймфорк","Редактирование списка post api/v1/lists/{{listID}} 200","Редактирование списка post api/v1/lists/{{listID}} 200",""
"passed","Tue Jun 07 20:13:12 GMT 2022","Tue Jun 07 20:13:13 GMT 2022","652","","Отправляем http запросы через Мини фреймфорк","","Отправляем http запросы через Мини фреймфорк","Авторизация пользователя. получение токена post api/v1/login 200","Авторизация пользователя. получение токена post api/v1/login 200",""
"passed","Tue Jun 07 20:13:16 GMT 2022","Tue Jun 07 20:13:16 GMT 2022","331","","Отправляем http запросы через Мини фреймфорк","","Отправляем http запросы через Мини фреймфорк","Удаление списка api/v1/lists/{{listID}} 200","Удаление списка api/v1/lists/{{listID}} 200",""
"passed","Tue Jun 07 20:13:13 GMT 2022","Tue Jun 07 20:13:13 GMT 2022","360","","Отправляем http запросы через Мини фреймфорк","","Отправляем http запросы через Мини фреймфорк","Получение namespace get api/v1/namespaces 200","Получение namespace get api/v1/namespaces 200",""
"passed","Tue Jun 07 20:13:12 GMT 2022","Tue Jun 07 20:13:12 GMT 2022","360","","Отправляем http запросы через Мини фреймфорк","","Отправляем http запросы через Мини фреймфорк","Регистрация пользователя post api/v1/register 200","Регистрация пользователя post api/v1/register 200",""
"passed","Tue Jun 07 20:13:13 GMT 2022","Tue Jun 07 20:13:14 GMT 2022","357","","Отправляем http запросы через Мини фреймфорк","","Отправляем http запросы через Мини фреймфорк","Создание списка put api/v1/namespaces/{{namespaceID}}/lists 201","Создание списка put api/v1/namespaces/{{namespaceID}}/lists 201",""
"passed","Tue Jun 07 20:13:16 GMT 2022","Tue Jun 07 20:13:16 GMT 2022","323","","Отправляем http запросы через Мини фреймфорк","","Отправляем http запросы через Мини фреймфорк","Удаление списка c невалидным токеном api/v1/lists/{{listID}} 200","Удаление списка c невалидным токеном api/v1/lists/{{listID}} 200",""
