"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jun 20 08:55:46 GMT 2022","Mon Jun 20 08:55:47 GMT 2022","952","","Отправляем http запросы через Мини фреймфорк","","Отправляем http запросы через Мини фреймфорк","Авторизация пользователя. получение токена post api/v1/login 200","Авторизация пользователя. получение токена post api/v1/login 200",""
"passed","Mon Jun 20 08:55:47 GMT 2022","Mon Jun 20 08:55:49 GMT 2022","1998","","Отправляем http запросы через Мини фреймфорк","","Отправляем http запросы через Мини фреймфорк","Создание списка put api/v1/namespaces/{{namespaceID}}/lists 201","Создание списка put api/v1/namespaces/{{namespaceID}}/lists 201",""
"passed","Mon Jun 20 08:55:53 GMT 2022","Mon Jun 20 08:55:55 GMT 2022","1791","","Отправляем http запросы через Мини фреймфорк","","Отправляем http запросы через Мини фреймфорк","Удаление списка api/v1/lists/{{listID}} 200","Удаление списка api/v1/lists/{{listID}} 200",""
"passed","Mon Jun 20 08:55:51 GMT 2022","Mon Jun 20 08:55:53 GMT 2022","1820","","Отправляем http запросы через Мини фреймфорк","","Отправляем http запросы через Мини фреймфорк","Редактирование списка post api/v1/lists/{{listID}} 200","Редактирование списка post api/v1/lists/{{listID}} 200",""
