"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jun 08 18:49:27 GMT 2022","Wed Jun 08 18:49:28 GMT 2022","722","","Отправляем http запросы через Мини фреймфорк","","Отправляем http запросы через Мини фреймфорк","Авторизация пользователя. получение токена post api/v1/login 200","Авторизация пользователя. получение токена post api/v1/login 200",""
"passed","Wed Jun 08 18:49:28 GMT 2022","Wed Jun 08 18:49:29 GMT 2022","579","","Отправляем http запросы через Мини фреймфорк","","Отправляем http запросы через Мини фреймфорк","Создание списка put api/v1/namespaces/{{namespaceID}}/lists 201","Создание списка put api/v1/namespaces/{{namespaceID}}/lists 201",""
"passed","Wed Jun 08 18:49:31 GMT 2022","Wed Jun 08 18:49:32 GMT 2022","530","","Отправляем http запросы через Мини фреймфорк","","Отправляем http запросы через Мини фреймфорк","Редактирование списка post api/v1/lists/{{listID}} 200","Редактирование списка post api/v1/lists/{{listID}} 200",""
"passed","Wed Jun 08 18:49:32 GMT 2022","Wed Jun 08 18:49:32 GMT 2022","531","","Отправляем http запросы через Мини фреймфорк","","Отправляем http запросы через Мини фреймфорк","Удаление списка c невалидным токеном api/v1/lists/{{listID}} 200","Удаление списка c невалидным токеном api/v1/lists/{{listID}} 200",""
"passed","Wed Jun 08 18:49:28 GMT 2022","Wed Jun 08 18:49:28 GMT 2022","541","","Отправляем http запросы через Мини фреймфорк","","Отправляем http запросы через Мини фреймфорк","Получение namespace get api/v1/namespaces 200","Получение namespace get api/v1/namespaces 200",""
"passed","Wed Jun 08 18:49:27 GMT 2022","Wed Jun 08 18:49:27 GMT 2022","566","","Отправляем http запросы через Мини фреймфорк","","Отправляем http запросы через Мини фреймфорк","Регистрация пользователя post api/v1/register 200","Регистрация пользователя post api/v1/register 200",""
"passed","Wed Jun 08 18:49:32 GMT 2022","Wed Jun 08 18:49:33 GMT 2022","528","","Отправляем http запросы через Мини фреймфорк","","Отправляем http запросы через Мини фреймфорк","Удаление списка api/v1/lists/{{listID}} 200","Удаление списка api/v1/lists/{{listID}} 200",""
