"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jun 07 20:40:14 GMT 2022","Tue Jun 07 20:40:14 GMT 2022","332","","Отправляем http запросы через Мини фреймфорк","","Отправляем http запросы через Мини фреймфорк","Редактирование списка post api/v1/lists/{{listID}} 200","Редактирование списка post api/v1/lists/{{listID}} 200",""
"passed","Tue Jun 07 20:40:12 GMT 2022","Tue Jun 07 20:40:12 GMT 2022","341","","Отправляем http запросы через Мини фреймфорк","","Отправляем http запросы через Мини фреймфорк","Получение namespace get api/v1/namespaces 200","Получение namespace get api/v1/namespaces 200",""
"passed","Tue Jun 07 20:40:14 GMT 2022","Tue Jun 07 20:40:15 GMT 2022","331","","Отправляем http запросы через Мини фреймфорк","","Отправляем http запросы через Мини фреймфорк","Удаление списка api/v1/lists/{{listID}} 200","Удаление списка api/v1/lists/{{listID}} 200",""
"passed","Tue Jun 07 20:40:12 GMT 2022","Tue Jun 07 20:40:12 GMT 2022","336","","Отправляем http запросы через Мини фреймфорк","","Отправляем http запросы через Мини фреймфорк","Создание списка put api/v1/namespaces/{{namespaceID}}/lists 201","Создание списка put api/v1/namespaces/{{namespaceID}}/lists 201",""
"passed","Tue Jun 07 20:40:11 GMT 2022","Tue Jun 07 20:40:11 GMT 2022","346","","Отправляем http запросы через Мини фреймфорк","","Отправляем http запросы через Мини фреймфорк","Регистрация пользователя post api/v1/register 200","Регистрация пользователя post api/v1/register 200",""
"passed","Tue Jun 07 20:40:14 GMT 2022","Tue Jun 07 20:40:14 GMT 2022","307","","Отправляем http запросы через Мини фреймфорк","","Отправляем http запросы через Мини фреймфорк","Удаление списка c невалидным токеном api/v1/lists/{{listID}} 200","Удаление списка c невалидным токеном api/v1/lists/{{listID}} 200",""
"passed","Tue Jun 07 20:40:11 GMT 2022","Tue Jun 07 20:40:12 GMT 2022","500","","Отправляем http запросы через Мини фреймфорк","","Отправляем http запросы через Мини фреймфорк","Авторизация пользователя. получение токена post api/v1/login 200","Авторизация пользователя. получение токена post api/v1/login 200",""
