"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jun 21 07:30:00 GMT 2022","Tue Jun 21 07:30:01 GMT 2022","1018","","Отправляем http запросы через Мини фреймфорк","","Отправляем http запросы через Мини фреймфорк","Создание списка put api/v1/namespaces/{{namespaceID}}/lists 201","Создание списка put api/v1/namespaces/{{namespaceID}}/lists 201",""
"passed","Tue Jun 21 07:30:02 GMT 2022","Tue Jun 21 07:30:03 GMT 2022","999","","Отправляем http запросы через Мини фреймфорк","","Отправляем http запросы через Мини фреймфорк","Редактирование списка post api/v1/lists/{{listID}} 200","Редактирование списка post api/v1/lists/{{listID}} 200",""
"passed","Tue Jun 21 07:30:04 GMT 2022","Tue Jun 21 07:30:05 GMT 2022","1019","","Отправляем http запросы через Мини фреймфорк","","Отправляем http запросы через Мини фреймфорк","Удаление списка api/v1/lists/{{listID}} 200","Удаление списка api/v1/lists/{{listID}} 200",""
"passed","Tue Jun 21 07:29:59 GMT 2022","Tue Jun 21 07:30:00 GMT 2022","658","","Отправляем http запросы через Мини фреймфорк","","Отправляем http запросы через Мини фреймфорк","Авторизация пользователя. получение токена post api/v1/login 200","Авторизация пользователя. получение токена post api/v1/login 200",""
"passed","Tue Jun 21 07:30:03 GMT 2022","Tue Jun 21 07:30:04 GMT 2022","994","","Отправляем http запросы через Мини фреймфорк","","Отправляем http запросы через Мини фреймфорк","Удаление списка c невалидным токеном api/v1/lists/{{listID}} 200","Удаление списка c невалидным токеном api/v1/lists/{{listID}} 200",""
