"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jun 13 17:36:29 GMT 2022","Mon Jun 13 17:36:30 GMT 2022","317","","Отправляем http запросы через Мини фреймфорк","","Отправляем http запросы через Мини фреймфорк","Удаление списка api/v1/lists/{{listID}} 200","Удаление списка api/v1/lists/{{listID}} 200",""
"passed","Mon Jun 13 17:36:21 GMT 2022","Mon Jun 13 17:36:23 GMT 2022","1327","","Отправляем http запросы через Мини фреймфорк","","Отправляем http запросы через Мини фреймфорк","Создание списка put api/v1/namespaces/{{namespaceID}}/lists 201","Создание списка put api/v1/namespaces/{{namespaceID}}/lists 201",""
"passed","Mon Jun 13 17:36:21 GMT 2022","Mon Jun 13 17:36:21 GMT 2022","510","","Отправляем http запросы через Мини фреймфорк","","Отправляем http запросы через Мини фреймфорк","Авторизация пользователя. получение токена post api/v1/login 200","Авторизация пользователя. получение токена post api/v1/login 200",""
"passed","Mon Jun 13 17:36:28 GMT 2022","Mon Jun 13 17:36:29 GMT 2022","1274","","Отправляем http запросы через Мини фреймфорк","","Отправляем http запросы через Мини фреймфорк","Редактирование списка post api/v1/lists/{{listID}} 200","Редактирование списка post api/v1/lists/{{listID}} 200",""
"passed","Mon Jun 13 17:36:29 GMT 2022","Mon Jun 13 17:36:29 GMT 2022","338","","Отправляем http запросы через Мини фреймфорк","","Отправляем http запросы через Мини фреймфорк","Удаление списка c невалидным токеном api/v1/lists/{{listID}} 200","Удаление списка c невалидным токеном api/v1/lists/{{listID}} 200",""
"passed","Mon Jun 13 17:36:21 GMT 2022","Mon Jun 13 17:36:21 GMT 2022","353","","Отправляем http запросы через Мини фреймфорк","","Отправляем http запросы через Мини фреймфорк","Регистрация пользователя post api/v1/register 200","Регистрация пользователя post api/v1/register 200",""
